# id	file_path	transparent_color_r	g	b
[TEXTURES]
500	map\map1b_bank.png	255	255	255
0	textures\gimmick.png	0	0	255
10	textures\gimmick2.png	0	0	255
20	textures\enemy.png	57	189	255
30	textures\enemy2.png	57	189	255
40	textures\item.png	215	121	214

#ID	TRTileSet	TCTileSet	TRMap	TCMap	TotalTiles	Matrix_Path
[MAP]
500	15	11	35	96	155	map\map1b_map.txt

# id	left	top	right	bottom	texture_id
[SPRITES]
#==== gimmick=====
# idle right
10000	2	2	18	21	0
10001	22	2	38	21	0

#walk right
10002	2	24	18	43	0
10003	21	24	37	43	0
10004	39	24	55	43	0
10005	58	24	74	43	0
10006	79	24	95	43	0
10007	99	24	115	43	0

#Jump right
10008	2	46	18	70	0
10009	22	50	36	66	0

#colision right
10010	2	81	18	97	0
10011	24	78	40	94	0
10012	45	81	61	97	0
10013	65	76	87	97	0
10014	96	73	115	97	0
10015	123	78	140	97	0
10016	171	77	190	97	0

#idle left
10017	399	2	415	21	10
10018	379	2	395	21	10

#walk left
10019	399	24	415	43	10
10020	380	24	396	43	10
10021	362	24	378	43	10
10022	322	24	338	43	10
10023	302	24	318	43	10

#Jump left
10024	399	46	415	70	10
10025	381	50	395	66	10

#colision left
10026	399	81	415	97	10
10027	377	78	393	97	10
10028	356	81	372	97	10
10029	330	76	22	21	10
10030	277	78	294	97	10
10031	250	73	268	97	10
10032	210	75	217	97	10

#=====star====
#small star
20000	8	141	16	149	0
20001	20	141	28	149	0

#big star
20002	33	138	53	159	0
20003	55	138	75	159	0
20004	124	137	144	159	0

#bubble start
20005	340	142	356	157	0

#=======black eneny

#==normal
#walk right
30000	2	1	18	17	20
30001	20	2	36	17	20
30002	38	1	54	17	20
#walk left
30003	678	1	694	17	30
30004	660	2	676	17	30
30005	642	1	658	17	30

#fly right
30006	2	19	18	36	20
30007	20	19	36	36	20
30008	38	19	54	36	20
30009	56	19	72	36	20
30010	74	19	90	36	20

#fly left
30011	678	19	694	36	30
30012	660	19	676	36	30
30013	642	19	658	36	30
30014	624	19	640	36	30
30015	606	19	622	36	30


#brick
40000	120	52	136	68	40
40001	137	1	153	17	40
40002	35	86	51	102	40
40003	154	18	170	34	40
40004	120	1	136	17	40
40005	154	1	170	17	40
40006	154	52	170	68	40
40007	120	18	136	34	40
40008	137	18	153	34	40

#======Banh-xe-lon
#banh-xe-quay-1
80000	1	205	17	221	40
80001	18	205	34	221	40
80002	1	222	17	238	40
80003	18	222	34	238	40
#banh-xe-quay-2
80004	35	205	51	221	40
80005	52	205	68	221	40
80006	35	222	51	238	40
80007	52	222	68	238	40
#banh-xe-quay-3
80008	1	239	17	255	40
80009	18	239	34	255	40
80010	1	256	17	272	40
80011	18	256	34	272	40
#banh-xe-quay-4
80012	35	239	51	255	40
80013	52	239	68	255	40
80014	35	256	51	272	40
80015	52	256	68	272	40

#Banh-xe-nho
80016	69	205	85	221	40
80017	69	222	85	238	40
80018	69	239	85	255	40
80019	69	256	85	272	40

#Tia-set
80100	103	154	119	170	40
80101	120	154	136	170	40
80102	137	154	153	170	40
80103	154	154	170	170	40

80104	103	171	119	187	40

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#Gimmick
#idle right
100	10000	2500	10001	200	10000	200	10001	200
#idle left
101	10017	2500	10018	200	10017	200	10018	200
#walk right
102	10002	100	10003	100	10004	100	10005	100	10006	100	10007	100
#walk left
103	10019	100	10020	100	10021	100	10022	100	10023	100
#jump right
104	10008	500
#Jump left
105	10024	100
#colision right
106	10010	100	10011	100	10012	100	10013	100	10014	100	10015	100	10016	100
#colision left
107	10026	100	10027	100	10028	100	10029	100	10030	100	10031	100	10032	100

#======back-enemy
#walk right
300	30000	100	30001	100	30002	100
#walk left
301	30003	100	30004	100	30005	100
#fly 	right
302	30006	100	30007	100	30008	100	30009	100	30010	100
#fly left
303	30011	100	30012	100	30013	100	30014	100	30015	100
#====black-eneny-electric

#brick
400	40000	100
401	40001	100
402	40002	100
403	40003	100
404	40004	100
405	40005	100
406	40006	100
407	40007	100
408	40008	100


#====Banh-xe-lon
#banh-xe-quay-1
800	80000	100	80004	100	80008	100	80012	100
#banh-xe-quay-2
801	80001	100	80005	100	80009	100	80013	100
#banh-xe-quay-3
802	80002	100	80006	100	80010	100	80014	100
#banh-xe-quay-4
803	80003	100	80007	100	80011	100	80015	100
#====Banh-xe-nho
804	80016	100	80017	100	80018	100	80019	100

#===Tia-set
810	80100	100	80101	100	80102	100	80103	100
811	80104	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# GimMick
#idle (l,r), walk (l,r), jump (l,r), colision (l,r)
1	101	100	103	102	104	105	106	107

#black enemy
3	300	301	302	303

#brick
4	400
401	401
402	402
403	403
404	404
405	405
406	406
407	407
408	408

#====Banh-xe-lon
#Banh-xe-1
10	800
#Banh-xe-2
11	801
#Banh-xe-3
12	802
#banh-xe-4
13	803

#====Banh-xe-nho
14	804

#==Tia-set
#dinh
15	810
#duoi
16	811

[OBJECTS]


1	462	384	4
1	462	368	4
1	462	352	4
1	497	384	4
1	497	368	4
1	497	352	4
1	497	336	4
1	497	320	4
1	497	304	4
1	448	303	4
1	464	303	4
1	480	303	4
1	449	352	4
1	288	368	4
1	304	368	4
1	320	368	4
1	336	368	4
1	352	368	4
1	368	368	4
1	384	368	4
1	400	368	4
1	416	368	4
1	432	368	4
1	256	352	4
1	256	336	4
1	256	320	4
1	272	352	4
1	272	336	4
1	272	320	4
1	160	368	4
1	176	368	4
1	192	368	4
1	208	368	4
1	224	368	4
1	240	368	4
1	112	352	4
1	112	336	4
1	128	352	4
1	128	336	4
1	144	352	4
1	144	336	4
1	32	368	4
1	48	368	4
1	64	368	4
1	80	368	4
1	96	368	4
1	16	368	4
1	16	352	4
1	16	336	4
1	16	320	4
1	16	304	4
1	16	288	4
1	16	272	4
1	16	256	4
1	16	240	4
1	16	224	4
1	16	208	4
1	16	192	4
1	16	176	4
1	16	160	4
1	16	144	4
1	16	128	4
1	0	128	4
1	0	112	4
1	0	96	4
1	0	80	4
1	49	319	4
1	353	255	4
1	369	255	4
1	385	255	4
1	288	255	4
1	304	255	4
1	177	223	4
1	193	223	4
1	225	223	4
1	241	223	4
1	50	271	4
1	65	271	4
1	50	255	4
1	50	239	4
1	50	223	4
1	50	207	4
1	50	191	4
1	50	175	4
1	50	159	4
1	50	143	4
1	50	127	4
1	16	79	4
1	80	31	4
1	129	64	4
1	129	48	4
1	129	32	4
1	129	16	4
1	177	31	4
1	224	64	4
1	240	64	4
1	288	96	4
1	304	96	4
1	64	160	4
1	64	144	4
1	64	128	4
1	128	160	4
1	128	144	4
1	128	128	4
1	144	160	4
1	144	144	4
1	144	128	4
1	544	160	4
1	544	144	4
1	560	160	4
1	560	144	4
1	80	176	4
1	96	176	4
1	112	176	4
1	128	176	4
1	144	176	4
1	160	176	4
1	176	176	4
1	192	176	4
1	208	176	4
1	224	176	4
1	240	176	4
1	256	176	4
1	272	176	4
1	288	176	4
1	304	176	4
1	320	176	4
1	336	176	4
1	352	176	4
1	368	176	4
1	384	176	4
1	400	176	4
1	416	176	4
1	432	176	4
1	448	176	4
1	464	176	4
1	480	176	4
1	496	176	4
1	512	176	4
1	528	176	4
1	544	176	4
1	560	176	4
1	576	176	4
1	592	176	4
1	608	176	4
1	624	176	4
1	640	176	4
1	656	176	4
1	672	176	4
1	688	176	4
1	224	128	4
1	240	128	4
1	256	128	4
1	448	96	4
1	464	96	4
1	480	96	4
1	640	96	4
1	656	96	4
1	672	96	4
1	448	32	4
1	464	32	4
1	480	32	4
1	496	32	4
1	560	64	4
1	624	32	4
1	640	32	4
1	656	32	4
1	704	160	4
1	704	144	4
1	704	128	4
1	704	112	4
1	720	112	4
1	736	112	4
1	752	112	4
1	734	64	4
1	750	64	4
1	734	64	4
1	750	64	4
1	766	64	4
1	782	64	4
1	798	64	4
1	814	64	4
1	830	64	4
1	846	64	4
1	862	64	4
1	878	64	4
1	894	64	4
1	910	64	4
1	926	64	4
1	942	64	4
1	958	64	4
1	974	64	4
1	990	64	4
1	1006	64	4
1	1022	64	4
1	1038	64	4
1	1054	64	4
1	1070	64	4
1	1086	64	4
1	1102	64	4
1	1118	64	4
1	1134	64	4
1	1150	64	4
1	1166	64	4
1	1182	64	4
1	1198	64	4
1	1214	64	4
1	1230	64	4
1	1246	64	4
1	1262	64	4
1	1278	64	4
1	1294	64	4
1	1310	64	4
1	766	112	4
1	782	112	4
1	798	112	4
1	814	112	4
1	830	112	4
1	846	112	4
1	862	112	4
1	878	112	4
1	894	112	4
